,City,Country,Response Code,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,atuona,PF,200,0,1540672211,100,-9.8,-139.03,79.88,16.13
1,vaini,TO,200,75,1540670400,83,-21.2,-175.2,77,4.7
2,redlands,US,200,1,1540670280,17,34.06,-117.19,93.2,5.82
3,padang,ID,200,48,1540672212,100,-0.92,100.36,79.43,2.71
4,sayyan,YE,200,0,1540671965,54,15.17,44.32,44.51,3.38
5,tuktoyaktuk,CA,200,90,1540670400,100,69.44,-133.03,26.6,9.17
6,nouadhibou,MR,200,44,1540670400,83,20.93,-17.03,69.8,17.22
7,east london,ZA,200,0,1540671916,100,-33.02,27.91,69.76,17.92
8,chippewa falls,US,200,90,1540670160,87,44.94,-91.39,46.4,6.93
9,clyde river,CA,200,75,1540670400,85,70.47,-68.59,12.2,24.16
10,kirakira,SB,200,56,1540672214,100,-10.46,161.92,83.44,4.27
11,ganzhou,CN,200,0,1540672215,68,25.86,114.93,45.37,3.27
12,punta arenas,CL,200,40,1540670400,43,-53.16,-70.91,55.4,23.04
13,chokurdakh,RU,200,88,1540672215,85,70.62,147.9,7.34,7.4
14,impfondo,CG,200,24,1540672215,92,1.64,18.07,75.92,2.59
15,asmar,AF,200,0,1540672216,54,35.03,71.36,44.24,2.15
16,buala,SB,200,68,1540672216,88,-8.15,159.59,83.57,3.83
17,srednekolymsk,RU,200,92,1540672216,76,67.46,153.71,7.79,6.73
18,yellowknife,CA,200,90,1540670400,93,62.45,-114.38,32,8.05
19,hovd,MN,200,20,1540672158,66,48.01,91.64,16.39,2.37
20,awjilah,LY,200,76,1540672217,41,29.14,21.3,68.45,8.75
21,bethel,US,200,1,1540669980,80,60.79,-161.76,30.2,18.34
22,tiksi,RU,200,0,1540672218,72,71.64,128.87,12.61,14.9
23,gamba,GA,200,92,1540672218,97,-2.72,10.02,80.02,8.19
24,hobart,AU,200,40,1540670400,65,-42.88,147.33,44.6,6.93
25,rozkishne,UA,200,64,1540672219,87,48.5,37.59,50.72,14.79
26,yulara,AU,200,40,1540670400,93,-25.24,130.99,62.6,5.82
27,north battleford,CA,200,1,1540670400,34,52.78,-108.3,51.8,25.28
28,khatanga,RU,200,92,1540672219,89,71.98,102.47,32.45,20.04
29,mar del plata,AR,200,0,1540671971,34,-46.43,-67.52,70.43,5.06
30,port alfred,ZA,200,24,1540672220,93,-33.59,26.89,68.63,14
31,teguise,ES,200,20,1540670400,78,29.06,-13.56,71.6,9.17
32,new norfolk,AU,200,40,1540670400,65,-42.78,147.06,44.6,6.93
33,chicama,PE,200,20,1540670400,72,-7.84,-79.15,68,12.75
34,teguldet,RU,200,0,1540672133,70,57.31,88.17,38.75,7.96
35,dikson,RU,200,88,1540672221,100,73.51,80.55,24.35,34.81
36,ostrovnoy,RU,200,80,1540672221,80,68.05,39.51,26.06,10.98
37,touros,BR,200,0,1540672221,80,-5.2,-35.46,79.21,11.77
38,wageningen,SR,200,56,1540672222,96,5.77,-56.69,82.67,11.88
39,port-gentil,GA,200,20,1540670400,88,-0.72,8.78,80.6,11.41
40,kodiak,US,200,1,1540669980,28,39.95,-94.76,71.6,8.05
41,sigayevo,RU,200,80,1540672223,84,56.42,53.78,33.62,10.76
42,norman wells,CA,200,90,1540670400,92,65.28,-126.83,23,2.24
43,ponta do sol,CV,200,20,1540672223,100,17.2,-25.09,77.14,12.77
44,busselton,AU,200,0,1540672223,100,-33.64,115.35,56.3,12.21
45,wawa,CA,200,90,1540670400,75,47.99,-84.77,42.8,5.82
46,karratha,AU,200,0,1540672090,88,-20.74,116.85,64.81,4.72
47,ushuaia,AR,200,40,1540670400,61,-54.81,-68.31,50,23.04
48,bredasdorp,ZA,200,48,1540670400,88,-34.53,20.04,64.4,9.17
49,klaksvik,FO,200,68,1540669800,86,62.23,-6.59,37.4,2.24
50,lagoa,PT,200,0,1540670400,44,37.14,-8.45,57.2,13.87
51,bonavista,CA,200,0,1540672023,92,48.65,-53.11,43.34,18.25
52,albany,AU,200,92,1540671985,94,-35.02,117.88,53.47,2.93
53,eureka,US,200,75,1540670100,77,40.8,-124.16,68,4.7
54,saskylakh,RU,200,92,1540672226,82,71.97,114.09,18.77,25.52
55,along,IN,200,0,1540672226,54,28.17,94.8,57.74,2.37
56,guhagar,IN,200,32,1540672226,80,17.48,73.19,81.01,4.5
57,luderitz,NA,200,32,1540670400,47,-26.65,15.16,78.8,3.36
58,chongwe,ZM,200,0,1540672227,32,-15.33,28.68,67.69,7.18
59,bukachacha,RU,200,0,1540672227,42,52.99,116.91,21.02,9.75
60,arman,RU,200,90,1540670400,100,59.7,150.17,37.4,2.37
61,taltal,CL,200,0,1540672227,68,-25.41,-70.49,69.67,3.6
