,City,Country,Response Code,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
11,yaan,cn,404,,,,,,,
23,attawapiskat,ca,404,,,,,,,
25,nizhneyansk,ru,404,,,,,,,
33,san quintin,mx,404,,,,,,,
35,barentsburg,sj,404,,,,,,,
43,saleaula,ws,404,,,,,,,
46,mataura,pf,404,,,,,,,
48,taolanaro,mg,404,,,,,,,
60,sentyabrskiy,ru,404,,,,,,,
64,amderma,ru,404,,,,,,,
72,zhetybay,kz,404,,,,,,,
80,cam pha,vn,404,,,,,,,
82,sansai,th,404,,,,,,,
97,illoqqortoormiut,gl,404,,,,,,,
117,samusu,ws,404,,,,,,,
124,bengkulu,id,404,,,,,,,
130,grand river south east,mu,404,,,,,,,
136,airai,pw,404,,,,,,,
142,jabiru,au,404,,,,,,,
151,gat,ly,404,,,,,,,
152,shirgaon,in,404,,,,,,,
157,tsihombe,mg,404,,,,,,,
158,codrington,ag,404,,,,,,,
167,belushya guba,ru,404,,,,,,,
171,lasa,cn,404,,,,,,,
185,asfi,ma,404,,,,,,,
196,yanan,cn,404,,,,,,,
204,sorvag,fo,404,,,,,,,
240,umzimvubu,za,404,,,,,,,
242,louisbourg,ca,404,,,,,,,
249,marcona,pe,404,,,,,,,
255,goderich,sl,404,,,,,,,
269,pribelskiy,ru,404,,,,,,,
279,gzhatsk,ru,404,,,,,,,
293,puerto pinasco,py,404,,,,,,,
296,tatawin,tn,404,,,,,,,
297,tumannyy,ru,404,,,,,,,
306,bairiki,ki,404,,,,,,,
307,nylstroom,za,404,,,,,,,
313,jiddah,sa,404,,,,,,,
317,grand centre,ca,404,,,,,,,
319,mergui,mm,404,,,,,,,
330,catamarca,ar,404,,,,,,,
359,ruatoria,nz,404,,,,,,,
360,pafos,cy,404,,,,,,,
361,ribeira brava,cv,404,,,,,,,
385,hihifo,to,404,,,,,,,
386,abu jubayhah,sd,404,,,,,,,
394,bolshaya murta,ru,404,,,,,,,
403,fevralsk,ru,404,,,,,,,
406,phan rang,vn,404,,,,,,,
413,disna,by,404,,,,,,,
416,odweyne,so,404,,,,,,,
424,palabuhanratu,id,404,,,,,,,
431,rincon,an,404,,,,,,,
436,sakakah,sa,404,,,,,,,
450,kalomo,zm,404,,,,,,,
451,tabiauea,ki,404,,,,,,,
455,laguna,br,404,,,,,,,
458,mys shmidta,ru,404,,,,,,,
483,sug-aksy,ru,404,,,,,,,
485,faya,td,404,,,,,,,
487,yialos,gr,404,,,,,,,
506,londonderry,gb,404,,,,,,,
510,bolshoy uluy,ru,404,,,,,,,
518,padre bernardo,br,404,,,,,,,
521,satitoa,ws,404,,,,,,,
546,haibowan,cn,404,,,,,,,
550,svetlyy,ru,404,,,,,,,
552,camana,pe,404,,,,,,,
562,isabela,us,404,,,,,,,
563,manzil jamil,tn,404,,,,,,,
573,vaitupu,wf,404,,,,,,,
574,lemesos,cy,404,,,,,,,
580,dianopolis,br,404,,,,,,,
586,rawannawi,ki,404,,,,,,,
589,babanusah,sd,404,,,,,,,
595,pemangkat,id,404,,,,,,,
602,kamenskoye,ru,404,,,,,,,
608,mouzakion,gr,404,,,,,,,
613,chardara,kz,404,,,,,,,
615,kushmurun,kz,404,,,,,,,
